lead_link;pipeline_20.04.2026;stage_20.04.2026;pipeline_21.04.2026;stage_21.04.2026
https://alladin116.amocrm.ru/leads/detail/37742639;Другое;Закрыто и не реализовано;;
https://alladin116.amocrm.ru/leads/detail/37742663;Другое;Контрольный звонок данные;;
https://alladin116.amocrm.ru/leads/detail/37742679;Другое;Контрольный звонок данные;;
https://alladin116.amocrm.ru/leads/detail/37742685;СТУ;Контрольный звонок данные;;
https://alladin116.amocrm.ru/leads/detail/37742695;Лиды обработка;Недозвон;;
https://alladin116.amocrm.ru/leads/detail/37742701;Другое;Закрыто и не реализовано;;
https://alladin116.amocrm.ru/leads/detail/37742705;АПС;Контрольный звонок данные;;
https://alladin116.amocrm.ru/leads/detail/37742713;Другое;Закрыто и не реализовано;;
https://alladin116.amocrm.ru/leads/detail/37742729;Документы ПБ;Контрольный звонок данные;;
https://alladin116.amocrm.ru/leads/detail/37742739;АПС;Контрольный звонок данные;;
https://alladin116.amocrm.ru/leads/detail/37742745;Лиды обработка;Недозвон;;
https://alladin116.amocrm.ru/leads/detail/37742747;Другое;Закрыто и не реализовано;;
https://alladin116.amocrm.ru/leads/detail/37742761;Другое;Закрыто и не реализовано;;
https://alladin116.amocrm.ru/leads/detail/37742763;Другое;Закрыто и не реализовано;;
https://alladin116.amocrm.ru/leads/detail/37742765;Документы ПБ;Закрыто и не реализовано;;
https://alladin116.amocrm.ru/leads/detail/37742771;Другое;Закрыто и не реализовано;;
https://alladin116.amocrm.ru/leads/detail/37742801;Другое;ДАННЫЕ ПРЕДОСТАВЛЕНЫ;;
https://alladin116.amocrm.ru/leads/detail/37742805;Другое;ОБРАБОТАНО КОММУТАТОРОМ;;
https://alladin116.amocrm.ru/leads/detail/37742839;Лиды обработка;Недозвон;;
https://alladin116.amocrm.ru/leads/detail/37742877;Другое;ОБРАБОТАНО КОММУТАТОРОМ;;
https://alladin116.amocrm.ru/leads/detail/37742883;Планы эвакуации;Запросили данные;;
https://alladin116.amocrm.ru/leads/detail/37742887;1. ОГЗ Квалификация;Контакт установлен;;
https://alladin116.amocrm.ru/leads/detail/37743055;;;Лиды обработка;Недозвон
https://alladin116.amocrm.ru/leads/detail/37743063;;;Другое;Закрыто и не реализовано
https://alladin116.amocrm.ru/leads/detail/37743075;;;Другое;ОБРАБОТАНО КОММУТАТОРОМ
https://alladin116.amocrm.ru/leads/detail/37743085;;;СТУ;Запросили данные
https://alladin116.amocrm.ru/leads/detail/37743101;;;Лиды обработка;Закрыто и не реализовано
https://alladin116.amocrm.ru/leads/detail/37743139;;;Другое;Запросили данные
https://alladin116.amocrm.ru/leads/detail/37743153;;;АПС;Закрыто и не реализовано
https://alladin116.amocrm.ru/leads/detail/37743179;;;Другое;Закрыто и не реализовано
https://alladin116.amocrm.ru/leads/detail/37743185;;;СТУ;ОБРАБОТАНО Коммутатором
https://alladin116.amocrm.ru/leads/detail/37743199;;;1. ОГЗ Квалификация;Недозвон
https://alladin116.amocrm.ru/leads/detail/37743215;;;Лиды обработка;Недозвон
https://alladin116.amocrm.ru/leads/detail/37743241;;;Другое;Запросили данные
https://alladin116.amocrm.ru/leads/detail/37743269;;;Планы эвакуации;Закрыто и не реализовано
https://alladin116.amocrm.ru/leads/detail/37743273;;;Другое;ОБРАБОТАНО КОММУТАТОРОМ
https://alladin116.amocrm.ru/leads/detail/37743275;;;1. ОГЗ Квалификация;Закрыто и не реализовано
https://alladin116.amocrm.ru/leads/detail/37743279;;;Другое;ОБРАБОТАНО КОММУТАТОРОМ
